Berichtsstart,Berichtsende,"Name der Kampagne",Kampagnenauslieferung,Attributionseinstellung,Ergebnisse,"Indikator für Ergebnisse",Reichweite,Frequenz,"Kosten pro Ergebnis",Anzeigengruppenbudget,"Art des Anzeigengruppenbudgets","Ausgegebener Betrag (EUR)",Ende,Impressionen,"CPM (Kosten pro 1.000 Impressionen) (EUR)",Link-Klicks,shop_clicks,"CPC (Kosten pro Link-Klick) (EUR)","CTR (Link-Klickrate)","Klicks (alle)","CTR (alle)","CPC (alle) (EUR)",Landingpage-Aufrufe,"Kosten pro Landingpage-Aufruf (EUR)"
2026-03-26,2026-04-24,"Webinar Promotion - Software Winkel",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,50,Täglich,0,Fortlaufend,0,0,,,,,0,0,0,,
2026-03-26,2026-04-24,"Webinar Promotion - Normal",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,50,Täglich,0,Fortlaufend,0,0,,,,,0,0,0,,
2026-03-26,2026-04-24,"Direktansprache auf VSL",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,30,Täglich,0,Fortlaufend,0,0,,,,,0,0,0,,
2026-03-26,2026-04-24,"Retargetting Profilvisits",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,181,4.044199,,10,Täglich,50.93,Fortlaufend,732,69.576503,15,,3.395333,2.04918,33,4.508197,1.543333,5,10.186
2026-03-26,2026-04-24,"VSL auf Formular Seite",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,30,Täglich,0,Fortlaufend,0,0,,,,,0,0,0,,
2026-03-26,2026-04-24,"Recruiting - Opener Zoepp",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,0,0,,25,Täglich,0,Fortlaufend,0,0,,,,,0,0,0,,
2026-03-26,2026-04-24,"Recruiting - Opener Zoepp – BER",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",,,2351,1.703105,,30,Täglich,143.11,Fortlaufend,4004,35.741758,35,,4.088857,0.874126,61,1.523477,2.346066,1,143.11
2026-03-26,2026-04-24,"Follower Ads - April Run",inactive,"1 Tag (Klick)",582,profile_visit_view,19834,1.276041,0.22254296,"Verwendet Anzeigengruppenbudget",0,129.52,Fortlaufend,25309,5.117547,577,,0.224471,2.279821,569,2.248212,0.227627,,
2026-03-26,2026-04-24,"April I Direktansprache auf VSL",inactive,"7 Tage (Klick), 1 Tag (Aufruf) oder 7 Tage (Engaged-View)",1,actions:offsite_conversion.fb_pixel_lead,3032,2.306069,328.1,50,Täglich,328.1,Fortlaufend,6992,46.925057,130,,2.523846,1.859268,208,2.974828,1.577404,56,5.858929
